"TIV of arms exports from the top 50 largest exporters, 2000-2019"
Figures are SIPRI Trend Indicator Values (TIVs) expressed in millions
Figures may not add up due to the conventions of rounding.
A '0' indicates that the value of deliveries is less than 0.5m
"For more information, see http://www.sipri.org/databases/armstransfers/sources-and-methods/"

Source: SIPRI Arms Transfers Database
Generated: 11 March 2020


Rank 2000-2019,Rank 1999-2018,Supplier,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2000-2019
1,1,United States,7577,5606,4947,5659,6843,6770,7521,7832,6797,6870,8033,8988,9074,7508,9608,9963,9855,12050,10414,10752,162667
2,2,Russia,4503,5291,5746,5169,6288,5229,5159,5535,6253,5066,6275,8730,8261,7986,5527,5990,6841,6015,6506,4718,121086
3,4,France,1082,1416,1433,1400,2283,1817,1666,2369,1968,1888,866,1731,1010,1468,1627,1995,2041,2367,1773,3368,35567
4,3,Germany,1612,896,906,1652,1111,2071,2758,3292,2362,2461,2664,1317,747,779,1788,1766,2514,1982,1071,1185,34935
5,5,United Kingdom,1633,1387,1100,754,1216,1060,997,984,987,1080,1157,1055,929,1608,1651,1179,1376,1225,699,972,23049
6,6,China,299,515,525,700,413,286,668,510,652,1140,1478,1277,1540,2080,1226,1799,2372,1346,1140,1423,21391
7,9,Spain,46,8,16,95,52,108,840,601,602,951,263,1429,546,728,1050,1163,471,820,1025,1061,11872
8,7,Israel,404,474,579,409,609,510,406,554,373,744,637,538,455,420,393,720,1392,1195,655,369,11836
9,8,Italy,208,270,467,365,263,832,553,749,422,512,539,947,747,862,671,676,618,793,555,491,11541
10,10,Netherlands,284,203,233,331,204,505,1146,1213,446,495,371,546,858,374,631,461,471,1048,438,285,10544
11,11,Ukraine,270,511,310,306,199,291,531,644,392,433,485,570,1501,674,622,343,486,307,195,91,9161
12,12,Sweden,359,895,163,515,294,534,390,336,453,409,659,694,478,388,336,175,261,82,159,206,7787
13,14,South Korea,10,228,,96,73,108,158,279,109,224,197,345,218,347,163,101,479,751,1066,688,5640
14,13,Switzerland,182,209,166,185,255,253,296,302,459,229,251,327,230,175,330,471,212,173,237,254,5194
15,15,Canada,74,129,183,288,286,242,244,342,247,192,250,330,277,191,203,346,120,72,111,188,4316
16,17,Turkey,19,5,26,42,28,23,82,66,111,63,72,86,143,156,165,248,232,171,265,245,2249
17,18,Norway,3,42,92,101,66,6,17,65,118,155,159,151,172,175,164,212,122,153,58,32,2060
18,16,Belarus,293,49,63,57,19,53,43,6,224,41,159,96,65,268,68,142,152,50,45,115,2008
19,19,South Africa,21,37,17,43,72,30,187,127,141,103,235,71,184,103,65,58,74,77,65,145,1854
20,22,Australia,,43,47,44,2,49,14,18,26,80,115,143,45,54,97,87,134,98,38,148,1281
21,20,Poland,47,81,56,81,47,18,282,163,73,75,28,8,24,142,24,3,5,15,21,,1193
22,21,Belgium,26,37,35,15,47,159,59,19,217,243,9,116,22,55,10,12,7,12,16,42,1158
23,24,Uzbekistan,,,,252,126,4,,,,209,209,209,,,,34,68,,,,1111
24,25,Finland,12,33,34,40,34,52,138,77,79,52,61,41,104,77,93,20,43,25,42,24,1080
25,23,Czechia,81,88,60,64,1,70,44,32,32,23,4,10,8,40,26,150,148,88,88,13,1071
26,27,UAE,,,,,3,11,17,3,,34,39,3,69,106,73,131,92,97,113,104,893
